Skyrim.esm | Aia Arria | AiaArria | ImperialRace "Imperial" [RACE:00013744] | 0001325C
Skyrim.esm | Grelod the Kind | Grelod | ElderRace "Old People Race" [RACE:00067CD8] | 0001335E
Skyrim.esm | Haelga | Haelga | NordRace "Nord" [RACE:00013746] | 0001335F
Skyrim.esm | Hafjorg | Hafjorg | ElderRace "Old People Race" [RACE:00067CD8] | 00013360
Skyrim.esm | Ingun Black-Briar | Ingun | NordRace "Nord" [RACE:00013746] | 00013364
Skyrim.esm | Keerava | Keerava | ArgonianRace "Argonian" [RACE:00013740] | 00013365
Skyrim.esm | Laila Law-Giver | Laila | NordRace "Nord" [RACE:00013746] | 00013366
Skyrim.esm | Threki the Innocent | Threki | NordRace "Nord" [RACE:00013746] | 00013367
Skyrim.esm | Marise Aravel | Marise | DarkElfRace "Dark Elf" [RACE:00013742] | 00013369
Skyrim.esm | Maven Black-Briar | Maven | NordRace "Nord" [RACE:00013746] | 0001336A
Skyrim.esm | Mjoll the Lioness | Mjoll | NordRace "Nord" [RACE:00013746] | 0001336B
Skyrim.esm | Niluva Hlaalu | Niluva | DarkElfRace "Dark Elf" [RACE:00013742] | 0001336E
Skyrim.esm | Nivenor | Nivenor | WoodElfRace "Wood Elf" [RACE:00013749] | 0001336F
Skyrim.esm | Nura Snow-Shod | Nura | NordRace "Nord" [RACE:00013746] | 00013372
Skyrim.esm | Runa Fair-Shield | Runa | NordRaceChild "Nord" [RACE:0002C65B] | 00013378
Skyrim.esm | Svana Far-Shield | Svana | NordRace "Nord" [RACE:00013746] | 0001337C
Skyrim.esm | Wujeeta | Wujeeta | ArgonianRace "Argonian" [RACE:00013740] | 00013382
Skyrim.esm | Adara | Adara | RedguardRaceChild "Redguard" [RACE:0002C65A] | 00013385
Skyrim.esm | Anwen | Anwen | RedguardRace "Redguard" [RACE:00013748] | 00013386
Skyrim.esm | Betrid Silver-Blood | Betrid | NordRace "Nord" [RACE:00013746] | 00013388
Skyrim.esm | Bothela | Bothela | BretonRace "Breton" [RACE:00013741] | 0001338B
Skyrim.esm | Daighre | Daighre | BretonRace "Breton" [RACE:00013741] | 00013391
Skyrim.esm | Faleen | Faleen | RedguardRace "Redguard" [RACE:00013748] | 00013397
Skyrim.esm | Frabbi | Frabbi | NordRace "Nord" [RACE:00013746] | 00013398
Skyrim.esm | Ghorza gra-Bagol | GhorzaGraBagol | OrcRace "Orc" [RACE:00013747] | 0001339A
Skyrim.esm | Hroki | Hroki | NordRace "Nord" [RACE:00013746] | 0001339E
Skyrim.esm | Nana Ildene | Ildene | BretonRace "Breton" [RACE:00013741] | 000133A0
Skyrim.esm | Kerah | Kerah | RedguardRace "Redguard" [RACE:00013748] | 000133A2
Skyrim.esm | Lisbet | Lisbet | NordRace "Nord" [RACE:00013746] | 000133A5
Skyrim.esm | Erith | Erith | BretonRaceChild "Breton" [RACE:0002C65C] | 000133AB
Skyrim.esm | Orla | Orla | NordRace "Nord" [RACE:00013746] | 000133B0
Skyrim.esm | Rhiada | Rhiada | BretonRace "Breton" [RACE:00013741] | 000133B4
Skyrim.esm | Senna | Senna | BretonRace "Breton" [RACE:00013741] | 000133B7
Skyrim.esm | Sosia Tremellia | Sosia | ImperialRace "Imperial" [RACE:00013744] | 000133B9
Skyrim.esm | Uaile | Uaile | BretonRace "Breton" [RACE:00013741] | 000133BC
Skyrim.esm | Urzoga gra-Shugurz | UrzogaGraShugurz | OrcRace "Orc" [RACE:00013747] | 000133BE
Skyrim.esm | Vigdis Salvius | Vigdis | ElderRace "Old People Race" [RACE:00067CD8] | 000133BF
Skyrim.esm | Voada | Voada | BretonRace "Breton" [RACE:00013741] | 000133C0
Skyrim.esm | Sigrid | Sigrid | NordRace "Nord" [RACE:00013746] | 00013476
Skyrim.esm | Dorthe | Dorthe | NordRaceChild "Nord" [RACE:0002C65B] | 00013477
Skyrim.esm | Delphine | Delphine | BretonRace "Breton" [RACE:00013741] | 00013478
Skyrim.esm | Camilla Valerius | CamillaValerius | ImperialRace "Imperial" [RACE:00013744] | 0001347B
Skyrim.esm | Gerdur | Gerdur | NordRace "Nord" [RACE:00013746] | 0001347C
Skyrim.esm | Agni | Agni | NordRaceChild "Nord" [RACE:0002C65B] | 000135E5
Skyrim.esm | Alva | Alva | NordRace "Nord" [RACE:00013746] | 000135E6
Skyrim.esm | Idgrod Ravencrone | IdgrodRavencrone | ElderRace "Old People Race" [RACE:00067CD8] | 000135EB
Skyrim.esm | Idgrod the Younger | IdgrodTheYounger | NordRace "Nord" [RACE:00013746] | 000135EC
Skyrim.esm | Jonna | Jonna | RedguardRace "Redguard" [RACE:00013748] | 000135ED
Skyrim.esm | Lami | Lami | NordRace "Nord" [RACE:00013746] | 000135EF
Skyrim.esm | Argi Farseer | ArgiFarseer | NordRace "Nord" [RACE:00013746] | 00013602
Skyrim.esm | Sorli the Builder | Sorli | NordRace "Nord" [RACE:00013746] | 00013606
Skyrim.esm | Swanhvir | Swanhvir | NordRace "Nord" [RACE:00013746] | 00013608
Skyrim.esm | Aeri | Aeri | NordRace "Nord" [RACE:00013746] | 0001360B
Skyrim.esm | Beitild | Beitild | NordRace "Nord" [RACE:00013746] | 00013612
Skyrim.esm | Frida | Frida | ElderRace "Old People Race" [RACE:00067CD8] | 00013614
Skyrim.esm | Fruki | Fruki | NordRace "Nord" [RACE:00013746] | 00013615
Skyrim.esm | Irgnir | Irgnir | NordRace "Nord" [RACE:00013746] | 00013617
Skyrim.esm | Karita | Karita | NordRace "Nord" [RACE:00013746] | 0001361A
Skyrim.esm | Madena | Madena | BretonRace "Breton" [RACE:00013741] | 0001361D
Skyrim.esm | Seren | Seren | RedguardRace "Redguard" [RACE:00013748] | 0001361F
Skyrim.esm | Ingrid | Ingrid | NordRace "Nord" [RACE:00013746] | 0001363F
Skyrim.esm | Matlara | Matlara | NordRace "Nord" [RACE:00013746] | 00013640
Skyrim.esm | Indara Caerellia | IndaraCaerellia | ImperialRace "Imperial" [RACE:00013744] | 0001364F
Skyrim.esm | Narri | Narri | NordRace "Nord" [RACE:00013746] | 00013654
Skyrim.esm | Valga Vinicia | ValgaVinicia | ImperialRace "Imperial" [RACE:00013744] | 00013655
Skyrim.esm | Tekla | Tekla | NordRace "Nord" [RACE:00013746] | 00013656
Skyrim.esm | Nenya | Nenya | HighElfRace "High Elf" [RACE:00013743] | 00013659
Skyrim.esm | Ganna Uriel | GannaUriel | ImperialRace "Imperial" [RACE:00013744] | 0001365D
Skyrim.esm | Dravynea the Stoneweaver | Dravynea | DarkElfRace "Dark Elf" [RACE:00013742] | 0001365F
Skyrim.esm | Iddra | Iddra | NordRace "Nord" [RACE:00013746] | 00013662
Skyrim.esm | Annekke Crag-Jumper | Annekke | NordRace "Nord" [RACE:00013746] | 00013666
Skyrim.esm | Hrefna | Hrefna | NordRaceChild "Nord" [RACE:0002C65B] | 00013668
Skyrim.esm | Gilfre | Gilfre | ImperialRace "Imperial" [RACE:00013744] | 0001367A
Skyrim.esm | Hert | Hert | NordRaceVampire "Nord" [RACE:00088794] | 0001367C
Skyrim.esm | Reldith | Reldith | HighElfRace "High Elf" [RACE:00013743] | 000136B4
Skyrim.esm | Britte | Britte | NordRaceChild "Nord" [RACE:0002C65B] | 000136B9
Skyrim.esm | Sissel | Sissel | NordRaceChild "Nord" [RACE:0002C65B] | 000136BA
Skyrim.esm | Lynly Star-Sung | Lynly | NordRace "Nord" [RACE:00013746] | 000136BC
Skyrim.esm | Boti | Boti | NordRace "Nord" [RACE:00013746] | 000136BE
Skyrim.esm | Fastred | Fastred | NordRace "Nord" [RACE:00013746] | 000136BF
Skyrim.esm | Grelka | Grelka | NordRace "Nord" [RACE:00013746] | 000136C5
Skyrim.esm | Mena | Mena | BretonRace "Breton" [RACE:00013741] | 00013B6D
Skyrim.esm | Lash gra-Dushnikh | LashGraDushnikh | OrcRace "Orc" [RACE:00013747] | 00013B6E
Skyrim.esm | Eydis | Eydis | NordRace "Nord" [RACE:00013746] | 00013B77
Skyrim.esm | Murbul | Murbul | OrcRace "Orc" [RACE:00013747] | 00013B7A
Skyrim.esm | Arob | Arob | OrcRace "Orc" [RACE:00013747] | 00013B7B
Skyrim.esm | Gharol | Gharol | OrcRace "Orc" [RACE:00013747] | 00013B7C
Skyrim.esm | Shel | Shel | OrcRace "Orc" [RACE:00013747] | 00013B7D
Skyrim.esm | Saffir | Saffir | RedguardRace "Redguard" [RACE:00013748] | 00013B98
Skyrim.esm | Carlotta Valentia | CarlottaValentia | ImperialRace "Imperial" [RACE:00013744] | 00013B99
Skyrim.esm | Olfina Gray-Mane | OlfinaGrayMane | NordRace "Nord" [RACE:00013746] | 00013B9B
Skyrim.esm | Fralia Gray-Mane | FraliaGrayMane | ElderRace "Old People Race" [RACE:00067CD8] | 00013B9C
Skyrim.esm | Saadia | Saadia | RedguardRace "Redguard" [RACE:00013748] | 00013BA2
Skyrim.esm | Hulda | Hulda | NordRace "Nord" [RACE:00013746] | 00013BA3
Skyrim.esm | Arcadia | Arcadia | ImperialRace "Imperial" [RACE:00013744] | 00013BA4
Skyrim.esm | Danica Pure-Spring | DanicaPureSpring | NordRace "Nord" [RACE:00013746] | 00013BA5
Skyrim.esm | Braith | Braith | RedguardRaceChild "Redguard" [RACE:0002C65A] | 00013BA9
Skyrim.esm | Ysolda | Ysolda | NordRace "Nord" [RACE:00013746] | 00013BAB
Skyrim.esm | Mila Valentia | MilaValentia | ImperialRaceChild "Imperial" [RACE:0002C659] | 00013BAD
Skyrim.esm | Olava the Feeble | OlavatheFeeble | ElderRace "Old People Race" [RACE:00067CD8] | 00013BAE
Skyrim.esm | Alfhild Battle-Born | AlfhildBattleBorn | NordRace "Nord" [RACE:00013746] | 00013BB0
Skyrim.esm | Bergritte Battle-Born | BergritteBattleBorn | ElderRace "Old People Race" [RACE:00067CD8] | 00013BB3
Skyrim.esm | Tilma the Haggard | Tilma | ElderRace "Old People Race" [RACE:00067CD8] | 00013BB6
Skyrim.esm | Irileth | Irileth | DarkElfRace "Dark Elf" [RACE:00013742] | 00013BB8
Skyrim.esm | Adrianne Avenicci | AdrianneAvenicci | ImperialRace "Imperial" [RACE:00013744] | 00013BB9
Skyrim.esm | Ahlam | Ahlam | RedguardRace "Redguard" [RACE:00013748] | 00013BBE
Skyrim.esm | Lillith Maiden-Loom | LillithMaidenLoom | ElderRace "Old People Race" [RACE:00067CD8] | 00013BC0
Skyrim.esm | Tormir | Tormir | NordRace "Nord" [RACE:00013746] | 0001403D
Skyrim.esm | Gemma Uriel | GemmaUriel | ImperialRace "Imperial" [RACE:00013744] | 00014040
Skyrim.esm | Muiri | Muiri | BretonRace "Breton" [RACE:00013741] | 0001406B
Skyrim.esm | Shahvee | Shahvee | ArgonianRace "Argonian" [RACE:00013740] | 0001411A
Skyrim.esm | Idesa Sadri | IdesaSadri | DarkElfRace "Dark Elf" [RACE:00013742] | 0001411B
Skyrim.esm | Voldsea Giryon | VoldseaGiryon | DarkElfRace "Dark Elf" [RACE:00013742] | 0001411C
Skyrim.esm | Adelaisa Vendicci | Adelaisa | ImperialRace "Imperial" [RACE:00013744] | 0001411D
Skyrim.esm | Adisla | Adisla | NordRace "Nord" [RACE:00013746] | 0001411E
Skyrim.esm | Hillevi Cruel-Sea | Hillevi | NordRace "Nord" [RACE:00013746] | 0001411F
Skyrim.esm | Jora | Jora | NordRace "Nord" [RACE:00013746] | 00014120
Skyrim.esm | Silda the Unseen | Silda | NordRace "Nord" [RACE:00013746] | 00014121
Skyrim.esm | Suvaris Atheron | SuvarisAtheron | DarkElfRace "Dark Elf" [RACE:00013742] | 00014122
Skyrim.esm | Niranye | Niranye | HighElfRace "High Elf" [RACE:00013743] | 00014123
Skyrim.esm | Helgird | Helgird | ElderRace "Old People Race" [RACE:00067CD8] | 00014124
Skyrim.esm | Tova Shatter-Shield | Tova | NordRace "Nord" [RACE:00013746] | 00014125
Skyrim.esm | Bolfrida Brandy-Mug | Bolfrida | NordRace "Nord" [RACE:00013746] | 00014126
Skyrim.esm | Arivanya | Arivanya | HighElfRace "High Elf" [RACE:00013743] | 00014127
Skyrim.esm | Viola Giordano | ViolaGiordano | ImperialRace "Imperial" [RACE:00013744] | 00014129
Skyrim.esm | Elda Early-Dawn | Elda | NordRace "Nord" [RACE:00013746] | 0001412A
Skyrim.esm | Susanna the Wicked | Susanna | NordRace "Nord" [RACE:00013746] | 0001412B
Skyrim.esm | Nilsine Shatter-Shield | Nilsine | NordRace "Nord" [RACE:00013746] | 0001412C
Skyrim.esm | Hermir Strong-Heart | Hermir | NordRace "Nord" [RACE:00013746] | 0001412D
Skyrim.esm | Huki Seven-Swords | Huki | NordRace "Nord" [RACE:00013746] | 00014143
Skyrim.esm | Dagny | Dagny | NordRaceChild "Nord" [RACE:0002C65B] | 0001434B
Skyrim.esm | Eola | Eola | BretonRace "Breton" [RACE:00013741] | 0001990F
Skyrim.esm | Sharamph | Sharamph | OrcRace "Orc" [RACE:00013747] | 00019953
Skyrim.esm | Bagrak | Bagrak | OrcRace "Orc" [RACE:00013747] | 00019955
Skyrim.esm | Shuftharz | Shuftharz | OrcRace "Orc" [RACE:00013747] | 00019957
Skyrim.esm | Borgakh the Steel Heart | Borgakh | OrcRace "Orc" [RACE:00013747] | 00019959
Skyrim.esm | Olda | Olda | NordRace "Nord" [RACE:00013746] | 00019A20
Skyrim.esm | Faida | Faida | NordRace "Nord" [RACE:00013746] | 00019A28
Skyrim.esm | Michel Lylvieve | MichelLylvieve | BretonRace "Breton" [RACE:00013741] | 00019A2E
Skyrim.esm | Avrusa Sarethi | AvrusaSarethi | DarkElfRace "Dark Elf" [RACE:00013742] | 00019BFE
Skyrim.esm | Aduri Sarethi | AduriSarethi | DarkElfRace "Dark Elf" [RACE:00013742] | 00019BFF
Skyrim.esm | Grosta | Grosta | NordRace "Nord" [RACE:00013746] | 00019C00
Skyrim.esm | Wylandriah | Wylandriah | WoodElfRace "Wood Elf" [RACE:00013749] | 00019DEF
Skyrim.esm | Atub | Atub | OrcRace "Orc" [RACE:00013747] | 00019E18
Skyrim.esm | Ugor | Ugor | OrcRace "Orc" [RACE:00013747] | 00019E1A
Skyrim.esm | Garakh | Garakh | OrcRace "Orc" [RACE:00013747] | 00019E1C
Skyrim.esm | Aela the Huntress | AelaTheHuntress | NordRace "Nord" [RACE:00013746] | 0001A696
Skyrim.esm | Curwe | Curwe | HighElfRace "High Elf" [RACE:00013743] | 0001A6B3
Skyrim.esm | Brina Merilis | BrinaMerilis | NordRace "Nord" [RACE:00013746] | 0001A6B7
Skyrim.esm | Ria | Ria | ImperialRace "Imperial" [RACE:00013744] | 0001A6D7
Skyrim.esm | Njada Stonearm | NjadaStonearm | NordRace "Nord" [RACE:00013746] | 0001A6D9
Skyrim.esm | Bolar | Bolar | OrcRace "Orc" [RACE:00013747] | 0001B076
Skyrim.esm | Yatul | Yatul | OrcRace "Orc" [RACE:00013747] | 0001B077
Skyrim.esm | Urog | Urog | OrcRace "Orc" [RACE:00013747] | 0001B078
Skyrim.esm | Karliah | Karliah | DarkElfRace "Dark Elf" [RACE:00013742] | 0001B07F
Skyrim.esm | Zaynabi | Zaynabi | KhajiitRace "Khajiit" [RACE:00013745] | 0001B1D0
Skyrim.esm | Ra'zhinda | Razhinda | KhajiitRace "Khajiit" [RACE:00013745] | 0001B1D3
Skyrim.esm | Ahkari | Ahkari | KhajiitRace "Khajiit" [RACE:00013745] | 0001B1D6
Skyrim.esm | Khayla | Khayla | KhajiitRace "Khajiit" [RACE:00013745] | 0001B1D9
Skyrim.esm | Atahbah | Atahba | KhajiitRace "Khajiit" [RACE:00013745] | 0001B1DA
Skyrim.esm | Astrid | Astrid | NordRace "Nord" [RACE:00013746] | 0001BDB4
Skyrim.esm | Gabriella | Gabriella | DarkElfRace "Dark Elf" [RACE:00013742] | 0001BDB8
Skyrim.esm | Haran | Haran | NordRace "Nord" [RACE:00013746] | 0001C184
Skyrim.esm | Eirid | Eirid | NordRaceChild "Nord" [RACE:0002C65B] | 0001C185
Skyrim.esm | Birna | Birna | NordRace "Nord" [RACE:00013746] | 0001C187
Skyrim.esm | Thaena | Thaena | NordRace "Nord" [RACE:00013746] | 0001C189
Skyrim.esm | Brelyna Maryon | BrelynaMaryon | DarkElfRace "Dark Elf" [RACE:00013742] | 0001C196
Skyrim.esm | Faralda | Faralda | HighElfRace "High Elf" [RACE:00013743] | 0001C197
Skyrim.esm | Colette Marence | ColetteMarence | BretonRace "Breton" [RACE:00013741] | 0001C19A
Skyrim.esm | Nirya | Nirya | HighElfRace "High Elf" [RACE:00013743] | 0001C19B
Skyrim.esm | Mirabelle Ervine | MirabelleErvine | BretonRace "Breton" [RACE:00013741] | 0001C1A0
Skyrim.esm | Vex | Vex | ImperialRace "Imperial" [RACE:00013744] | 0001CD90
Skyrim.esm | Babette | Babette | BretonRaceChildVampire "Breton" [RACE:00108272] | 0001D4B7
Skyrim.esm | Hamal | Hamal | NordRace "Nord" [RACE:00013746] | 0001E765
Skyrim.esm | Fjotra | Fjotra | NordRaceChild "Nord" [RACE:0002C65B] | 0001E82C
Skyrim.esm | Liesl | Liesl | NordRace "Nord" [RACE:00013746] | 0001E956
Skyrim.esm | Agnis | Agnis | NordRace "Nord" [RACE:00013746] | 00020044
Skyrim.esm | Lu'ah Al-Skaven | dunAnsilvundLuahAlSkaven | RedguardRace "Redguard" [RACE:00013748] | 0002333A
Skyrim.esm | Queen Potema | MS06Potema | WispRace "Wisp" [RACE:00013208] | 00026C52
Skyrim.esm | Laelette the Vampire | MS14LaeletteVampire | BretonRaceVampire "Breton" [RACE:0008883C] | 000274A0
Skyrim.esm | Helgi's Ghost | MS14Helgi | NordRaceChild "Nord" [RACE:0002C65B] | 000274A5
Skyrim.esm | Ritual Master | MS06NecromancerLeader | ElderRace "Old People Race" [RACE:00067CD8] | 000284F2
Skyrim.esm |  | MS06NecromancerCultist2 | NordRace "Nord" [RACE:00013746] | 00028503
Skyrim.esm | Aranea Ienith | DA01Aranea | DarkElfRace "Dark Elf" [RACE:00013742] | 00028AD0
Skyrim.esm | Azura | DA01AzuraVoice | DarkElfRace "Dark Elf" [RACE:00013742] | 00028AE9
Skyrim.esm | Eriana | DA05Hunter03_Eriana | RedguardRace "Redguard" [RACE:00013748] | 0002ABC4
Skyrim.esm | Nimriel | Nimriel | WoodElfRace "Wood Elf" [RACE:00013749] | 0002C926
Skyrim.esm | Gwendolyn | Gwendolyn | NordRace "Nord" [RACE:00013746] | 0002C930
Skyrim.esm | Drunk Cultist | DA14Cultist | BretonRace "Breton" [RACE:00013741] | 0001CB2E
Skyrim.esm | Julienne Lylvieve | JulienneLylvieve | BretonRace "Breton" [RACE:00013741] | 00026F0F
Skyrim.esm | Hunter | Urwa | RedguardRace "Redguard" [RACE:00013748] | 0002FFEB
Skyrim.esm |  | TreasCorpseBanditRedguardFemale | RedguardRace "Redguard" [RACE:00013748] | 000328D4
Skyrim.esm |  | TreasCorpseBanditNordFemale | NordRace "Nord" [RACE:00013746] | 000328D6
Skyrim.esm |  | TreasCorpseBanditWoodElfFemale | WoodElfRace "Wood Elf" [RACE:00013749] | 000328DC
Skyrim.esm |  | TreasCorpseBanditDarkElfFemale | DarkElfRace "Dark Elf" [RACE:00013742] | 000328DD
Skyrim.esm |  | TreasCorpseBanditBretonFemale | BretonRace "Breton" [RACE:00013741] | 000328E0
Skyrim.esm |  | MQ201PartyGuard | HighElfRace "High Elf" [RACE:00013743] | 00033F45
Skyrim.esm | Tsavani | Tsavani | KhajiitRace "Khajiit" [RACE:00013745] | 000353C7
Skyrim.esm | Hilde | Hilde | ElderRace "Old People Race" [RACE:00067CD8] | 00035533
Skyrim.esm | Leonara Arius | LeonaraArius | ImperialRace "Imperial" [RACE:00013744] | 00037E04
Skyrim.esm | Ruki | T02Ruki | NordRace "Nord" [RACE:00013746] | 00038289
Skyrim.esm |  | VoiceTypeNPCFemaleArgonian | DefaultRace "Default Race" [RACE:00000019] | 000391C9
Skyrim.esm |  | VoiceTypeNPCFemaleChild | DefaultRace "Default Race" [RACE:00000019] | 000391CA
Skyrim.esm |  | VoiceTypeNPCFemaleCommander | DefaultRace "Default Race" [RACE:00000019] | 000391CB
Skyrim.esm |  | VoiceTypeNPCFemaleCommoner | DefaultRace "Default Race" [RACE:00000019] | 000391CC
Skyrim.esm |  | VoiceTypeNPCFemaleCondescending | DefaultRace "Default Race" [RACE:00000019] | 000391CD
Skyrim.esm |  | VoiceTypeNPCFemaleCoward | DefaultRace "Default Race" [RACE:00000019] | 000391CE
Skyrim.esm |  | VoiceTypeNPCFemaleDarkElf | DefaultRace "Default Race" [RACE:00000019] | 000391CF
Skyrim.esm |  | VoiceTypeNPCFemaleElfHaughty | DefaultRace "Default Race" [RACE:00000019] | 000391D1
Skyrim.esm |  | VoiceTypeNPCFemaleEvenToned | DefaultRace "Default Race" [RACE:00000019] | 000391D2
Skyrim.esm |  | VoiceTypeNPCFemaleKhajiit | DefaultRace "Default Race" [RACE:00000019] | 000391D3
Skyrim.esm |  | VoiceTypeNPCFemaleNord | DefaultRace "Default Race" [RACE:00000019] | 000391D4
Skyrim.esm |  | VoiceTypeNPCFemaleOldGrumpy | DefaultRace "Default Race" [RACE:00000019] | 000391D5
Skyrim.esm |  | VoiceTypeNPCFemaleOldKindly | DefaultRace "Default Race" [RACE:00000019] | 000391D6
Skyrim.esm |  | VoiceTypeNPCFemaleOrc | DefaultRace "Default Race" [RACE:00000019] | 000391D7
Skyrim.esm |  | VoiceTypeNPCFemaleShrill | DefaultRace "Default Race" [RACE:00000019] | 000391D8
Skyrim.esm |  | VoiceTypeNPCFemaleSoldier | DefaultRace "Default Race" [RACE:00000019] | 000391D9
Skyrim.esm |  | VoiceTypeNPCFemaleSultry | DefaultRace "Default Race" [RACE:00000019] | 000391DA
Skyrim.esm |  | VoiceTypeNPCFemaleYoungEager | DefaultRace "Default Race" [RACE:00000019] | 000391DB
Skyrim.esm | Isabelle Rolaine | IsabelleRolaine | BretonRace "Breton" [RACE:00013741] | 00039840
Skyrim.esm |  | EncBandit01Melee1HNordF | NordRace "Nord" [RACE:00013746] | 00039CF5
Skyrim.esm |  | EncBandit01Melee1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 00039CF7
Skyrim.esm |  | EncBandit01Melee1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00039CF8
Skyrim.esm |  | EncBandit02Melee1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 00039CFE
Skyrim.esm |  | EncBandit02Melee1HNordF | NordRace "Nord" [RACE:00013746] | 00039D00
Skyrim.esm |  | EncBandit02Melee1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00039D04
Skyrim.esm |  | EncBandit03Melee1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 00039D06
Skyrim.esm |  | EncBandit03Melee1HNordF | NordRace "Nord" [RACE:00013746] | 00039D08
Skyrim.esm |  | EncBandit03Melee1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00039D0C
Skyrim.esm |  | EncBandit04Melee1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 00039D0E
Skyrim.esm |  | EncBandit04Melee1HNordF | NordRace "Nord" [RACE:00013746] | 00039D10
Skyrim.esm |  | EncBandit04Melee1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00039D14
Skyrim.esm |  | EncBandit05Melee1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 00039D16
Skyrim.esm |  | EncBandit05Melee1HNordF | NordRace "Nord" [RACE:00013746] | 00039D18
Skyrim.esm |  | EncBandit05Melee1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00039D1C
Skyrim.esm |  | EncBandit06Melee1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 00039D1E
Skyrim.esm |  | EncBandit06Melee1HNordF | NordRace "Nord" [RACE:00013746] | 00039D20
Skyrim.esm |  | EncBandit06Melee1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00039D24
